Name,Date,in2002,in2003,out2002,out2003,none,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label,Annotator,Date annotated,Machine suggestion 1,Machine confidence 1,Machine suggestion 2,Machine confidence 2,Machine suggestion 3,Machine confidence 3,Machine suggestion 4,Machine confidence 4,Machine suggestion 5,Machine confidence 5
i0201a.png,,y,,,,,,,,,,,,,,,,111,94,C-Rubble,TITlyf,2020-09-13 05:20:27+00:00,,,,,,,,,,
i0201a.png,,y,,,,,,,,,,,,,,,,173,243,C-Rubble,TITlyf,2020-09-13 05:20:27+00:00,,,,,,,,,,
i0201a.png,,y,,,,,,,,,,,,,,,,84,366,C-Rubble,TITlyf,2020-09-13 05:20:27+00:00,,,,,,,,,,
i0201a.png,,y,,,,,,,,,,,,,,,,54,802,C-Rubble,TITlyf,2020-09-13 05:20:27+00:00,,,,,,,,,,
i0201a.png,,y,,,,,,,,,,,,,,,,313,66,Sand,TITlyf,2020-09-13 05:20:27+00:00,,,,,,,,,,
i0201a.png,,y,,,,,,,,,,,,,,,,236,439,C-Rubble,TITlyf,2020-09-13 05:20:27+00:00,,,,,,,,,,
i0201a.png,,y,,,,,,,,,,,,,,,,189,414,C-Rubble,TITlyf,2020-09-13 05:20:27+00:00,,,,,,,,,,
i0201a.png,,y,,,,,,,,,,,,,,,,331,747,C-Rubble,TITlyf,2020-09-13 05:20:27+00:00,,,,,,,,,,
i0201a.png,,y,,,,,,,,,,,,,,,,336,874,C-Rubble,TITlyf,2020-09-13 05:20:27+00:00,,,,,,,,,,
i0201a.png,,y,,,,,,,,,,,,,,,,317,1042,C-Rubble,TITlyf,2020-09-13 05:20:27+00:00,,,,,,,,,,
i0201a.png,,y,,,,,,,,,,,,,,,,305,1110,BAD,TITlyf,2020-09-13 05:20:27+00:00,,,,,,,,,,
i0201a.png,,y,,,,,,,,,,,,,,,,514,80,C-Rubble,TITlyf,2020-09-13 05:20:27+00:00,,,,,,,,,,
i0201a.png,,y,,,,,,,,,,,,,,,,365,101,C-Rubble,TITlyf,2020-09-13 05:20:27+00:00,,,,,,,,,,
i0201a.png,,y,,,,,,,,,,,,,,,,377,801,C-Rubble,TITlyf,2020-09-13 05:20:27+00:00,,,,,,,,,,
i0201a.png,,y,,,,,,,,,,,,,,,,529,1053,C-Rubble,TITlyf,2020-09-13 05:20:27+00:00,,,,,,,,,,
i0201a.png,,y,,,,,,,,,,,,,,,,708,458,C-Rubble,TITlyf,2020-09-13 05:20:27+00:00,,,,,,,,,,
i0201a.png,,y,,,,,,,,,,,,,,,,546,773,C-Rubble,TITlyf,2020-09-13 05:20:27+00:00,,,,,,,,,,
i0201a.png,,y,,,,,,,,,,,,,,,,585,707,C-Rubble,TITlyf,2020-09-13 05:20:27+00:00,,,,,,,,,,
i0201a.png,,y,,,,,,,,,,,,,,,,825,866,Dark,TITlyf,2020-09-14 01:14:15+00:00,,,,,,,,,,
i0201a.png,,y,,,,,,,,,,,,,,,,816,1015,C-Rubble,TITlyf,2020-09-13 05:20:27+00:00,,,,,,,,,,
i0201b.png,,y,,,,,,,,,,,,,,,,81,200,C-Rubble,TITlyf,2020-09-13 15:52:18+00:00,,,,,,,,,,
i0201b.png,,y,,,,,,,,,,,,,,,,171,761,Pavona,TITlyf,2020-09-13 15:52:18+00:00,,,,,,,,,,
i0201b.png,,y,,,,,,,,,,,,,,,,135,924,Pavona,TITlyf,2020-09-13 15:52:18+00:00,,,,,,,,,,
i0201b.png,,y,,,,,,,,,,,,,,,,188,390,C-Rubble,TITlyf,2020-09-13 15:52:18+00:00,,,,,,,,,,
i0201b.png,,y,,,,,,,,,,,,,,,,237,1147,C-Rubble,TITlyf,2020-09-13 15:52:18+00:00,,,,,,,,,,
i0201b.png,,y,,,,,,,,,,,,,,,,443,180,C-Rubble,TITlyf,2020-09-13 15:52:18+00:00,,,,,,,,,,
i0201b.png,,y,,,,,,,,,,,,,,,,458,193,C-Rubble,TITlyf,2020-09-13 15:52:18+00:00,,,,,,,,,,
i0201b.png,,y,,,,,,,,,,,,,,,,438,464,C-Rubble,TITlyf,2020-09-13 15:52:18+00:00,,,,,,,,,,
i0201b.png,,y,,,,,,,,,,,,,,,,350,679,C-Rubble,TITlyf,2020-09-13 15:52:18+00:00,,,,,,,,,,
i0201b.png,,y,,,,,,,,,,,,,,,,391,835,C-Rubble,TITlyf,2020-09-13 15:52:18+00:00,,,,,,,,,,
i0201b.png,,y,,,,,,,,,,,,,,,,461,887,Pavona,TITlyf,2020-09-13 15:52:18+00:00,,,,,,,,,,
i0201b.png,,y,,,,,,,,,,,,,,,,622,51,C-Rubble,TITlyf,2020-09-13 15:52:18+00:00,,,,,,,,,,
i0201b.png,,y,,,,,,,,,,,,,,,,590,20,C-Rubble,TITlyf,2020-09-13 15:52:18+00:00,,,,,,,,,,
i0201b.png,,y,,,,,,,,,,,,,,,,598,489,C-Rubble,TITlyf,2020-09-13 15:52:18+00:00,,,,,,,,,,
