Name,Row,Column,Label,Unnamed: 4
mcr_lter1_fringingreef_pole1-2_qu1_20080415.png,1084,211,CCA,
mcr_lter1_fringingreef_pole1-2_qu1_20080415.png,1349,1761,CCA,
mcr_lter1_fringingreef_pole1-2_qu1_20080415.png,1113,88,CCA,
mcr_lter1_fringingreef_pole1-2_qu1_20080415.png,1262,359,CCA,
mcr_lter1_fringingreef_pole1-2_qu1_20080415.png,1714,1447,CCA,
mcr_lter1_fringingreef_pole1-2_qu1_20080415.png,709,290,CCA,
mcr_lter1_fringingreef_pole1-2_qu2_20080415.png,1369,1626,CCA,
mcr_lter1_fringingreef_pole1-2_qu2_20080415.png,562,1844,CCA,
mcr_lter1_fringingreef_pole1-2_qu2_20080415.png,1759,1122,CCA,
mcr_lter1_fringingreef_pole1-2_qu2_20080415.png,1844,1458,CCA,
mcr_lter1_fringingreef_pole1-2_qu2_20080415.png,1538,1222,CCA,
mcr_lter1_fringingreef_pole1-2_qu3_20080415.png,251,1235,CCA,
mcr_lter1_fringingreef_pole1-2_qu3_20080415.png,265,985,CCA,
mcr_lter1_fringingreef_pole1-2_qu4_20080415.png,1453,1555,CCA,
mcr_lter1_fringingreef_pole1-2_qu4_20080415.png,393,556,CCA,
mcr_lter1_fringingreef_pole1-2_qu4_20080415.png,409,1038,CCA,
mcr_lter1_fringingreef_pole1-2_qu4_20080415.png,795,680,CCA,
mcr_lter1_fringingreef_pole1-2_qu5_20080415.png,1744,290,CCA,
mcr_lter1_fringingreef_pole1-2_qu5_20080415.png,1613,1344,CCA,
mcr_lter1_fringingreef_pole1-2_qu5_20080415.png,1784,482,CCA,
mcr_lter1_fringingreef_pole1-2_qu5_20080415.png,839,1837,CCA,
mcr_lter1_fringingreef_pole1-2_qu5_20080415.png,1067,460,CCA,
mcr_lter1_fringingreef_pole1-2_qu6_20080415.png,704,699,CCA,
mcr_lter1_fringingreef_pole1-2_qu6_20080415.png,761,1004,CCA,
mcr_lter1_fringingreef_pole1-2_qu6_20080415.png,143,649,CCA,
mcr_lter1_fringingreef_pole1-2_qu7_20080415.png,329,830,CCA,
mcr_lter1_fringingreef_pole1-2_qu7_20080415.png,1699,183,CCA,
mcr_lter1_fringingreef_pole1-2_qu7_20080415.png,1705,461,CCA,
mcr_lter1_fringingreef_pole1-2_qu7_20080415.png,568,496,CCA,
mcr_lter1_fringingreef_pole1-2_qu7_20080415.png,1826,1252,CCA,
mcr_lter1_fringingreef_pole1-2_qu7_20080415.png,601,461,CCA,
mcr_lter1_fringingreef_pole1-2_qu7_20080415.png,517,509,CCA,
mcr_lter1_fringingreef_pole1-2_qu7_20080415.png,1755,1627,CCA,
mcr_lter1_fringingreef_pole1-2_qu7_20080415.png,1610,317,CCA,
mcr_lter1_fringingreef_pole2-3_qu1_20080415.png,327,1768,CCA,
mcr_lter1_fringingreef_pole2-3_qu1_20080415.png,1609,669,CCA,
mcr_lter1_fringingreef_pole2-3_qu1_20080415.png,231,136,CCA,
mcr_lter1_fringingreef_pole2-3_qu1_20080415.png,681,1679,CCA,
mcr_lter1_fringingreef_pole2-3_qu1_20080415.png,481,1122,CCA,
mcr_lter1_fringingreef_pole2-3_qu1_20080415.png,1423,1602,CCA,
mcr_lter1_fringingreef_pole2-3_qu1_20080415.png,517,1778,CCA,
mcr_lter1_fringingreef_pole2-3_qu1_20080415.png,159,781,CCA,
mcr_lter1_fringingreef_pole2-3_qu2_20080415.png,814,1626,CCA,
mcr_lter1_fringingreef_pole2-3_qu2_20080415.png,1363,1359,CCA,
mcr_lter1_fringingreef_pole2-3_qu2_20080415.png,494,513,CCA,
mcr_lter1_fringingreef_pole2-3_qu2_20080415.png,155,647,CCA,
mcr_lter1_fringingreef_pole2-3_qu2_20080415.png,528,657,CCA,
mcr_lter1_fringingreef_pole2-3_qu2_20080415.png,353,617,CCA,
mcr_lter1_fringingreef_pole2-3_qu2_20080415.png,303,1233,CCA,
mcr_lter1_fringingreef_pole2-3_qu2_20080415.png,1800,796,CCA,
mcr_lter1_fringingreef_pole2-3_qu2_20080415.png,1239,1110,CCA,
mcr_lter1_fringingreef_pole2-3_qu3_20080415.png,1832,1755,CCA,
mcr_lter1_fringingreef_pole2-3_qu3_20080415.png,181,1669,CCA,
mcr_lter1_fringingreef_pole2-3_qu3_20080415.png,330,257,CCA,
mcr_lter1_fringingreef_pole2-3_qu3_20080415.png,1863,1404,CCA,
mcr_lter1_fringingreef_pole2-3_qu3_20080415.png,1305,524,CCA,
mcr_lter1_fringingreef_pole2-3_qu3_20080415.png,397,786,CCA,
mcr_lter1_fringingreef_pole2-3_qu3_20080415.png,1569,800,CCA,
mcr_lter1_fringingreef_pole2-3_qu3_20080415.png,287,1135,CCA,
mcr_lter1_fringingreef_pole2-3_qu3_20080415.png,421,1636,CCA,
mcr_lter1_fringingreef_pole2-3_qu3_20080415.png,1721,908,CCA,
mcr_lter1_fringingreef_pole2-3_qu3_20080415.png,839,1236,CCA,
mcr_lter1_fringingreef_pole2-3_qu3_20080415.png,664,1033,CCA,
mcr_lter1_fringingreef_pole2-3_qu4_20080415.png,1386,1531,CCA,
mcr_lter1_fringingreef_pole2-3_qu4_20080415.png,227,1142,CCA,
mcr_lter1_fringingreef_pole2-3_qu4_20080415.png,477,1227,CCA,
mcr_lter1_fringingreef_pole2-3_qu4_20080415.png,155,1042,CCA,
mcr_lter1_fringingreef_pole2-3_qu5_20080415.png,1693,488,CCA,
mcr_lter1_fringingreef_pole2-3_qu6_20080415.png,1377,1495,CCA,
mcr_lter1_fringingreef_pole2-3_qu6_20080415.png,175,250,CCA,
mcr_lter1_fringingreef_pole2-3_qu6_20080415.png,241,959,CCA,
mcr_lter1_fringingreef_pole2-3_qu6_20080415.png,130,353,CCA,
mcr_lter1_fringingreef_pole2-3_qu6_20080415.png,418,734,CCA,
mcr_lter1_fringingreef_pole2-3_qu6_20080415.png,938,1372,CCA,
mcr_lter1_fringingreef_pole2-3_qu6_20080415.png,1582,280,CCA,
mcr_lter1_fringingreef_pole2-3_qu7_20080415.png,212,718,CCA,
mcr_lter1_fringingreef_pole2-3_qu7_20080415.png,1495,875,CCA,
mcr_lter1_fringingreef_pole2-3_qu7_20080415.png,307,948,CCA,
mcr_lter1_fringingreef_pole2-3_qu7_20080415.png,1282,668,CCA,
mcr_lter1_fringingreef_pole2-3_qu7_20080415.png,505,1014,CCA,
mcr_lter1_fringingreef_pole2-3_qu7_20080415.png,601,746,CCA,
mcr_lter1_fringingreef_pole2-3_qu7_20080415.png,504,636,CCA,
mcr_lter1_fringingreef_pole2-3_qu7_20080415.png,821,1572,CCA,
mcr_lter1_fringingreef_pole2-3_qu7_20080415.png,289,1202,CCA,
mcr_lter1_fringingreef_pole2-3_qu7_20080415.png,445,826,CCA,
mcr_lter1_fringingreef_pole2-3_qu7_20080415.png,251,1845,CCA,
